ЗНП,Вагон №,Накладная №
49,60842747,ЭЛ969308
49,61473211,ЭЛ969308
49,63268635,ЭЛ969308
49,63296016,ЭЛ969308
49,52890688,ЭЛ969308
49,60751708,ЭЛ969308
49,57580938,ЭЛ969308
49,60190527,ЭЛ969308
49,61089355,ЭЛ969308
49,61440814,ЭЛ969308
49,61452546,ЭЛ969308
43,53418802,ЭЛ965548
43,56948839,ЭЛ965556
43,61902375,ЭЛ965565
43,56947930,ЭЛ968104
43,53591681,ЭЛ968104
74,61474722,ЭЛ967471
74,65350134,ЭЛ967549
74,63565352,ЭЛ967491
77,53478665,20358677
77,52772787,20358677
77,53452025,20358677
77,61901856,20360002
77,63872287,20360002
77,60977030,20358677
77,52731916,20358677
77,53452256,20358677
77,60976248,20358677
77,60699816,20358677
77,65353450,20360002
77,52731536,20358677
77,65864308,20360002
77,61474516,20358677
77,52772951,20358677
77,60976081,20358677
77,62625579,20358677
77,60978442,20358677
77,63740450,20358677
77,61474888,20360002
77,65864316,20360002
77,52773389,20358677
77,59087254,20360002
77,60556321,20360002
77,60512787,20360002
77,59794024,20360002
77,61325908,20360002
77,59758235,20360002
77,54792239,20360002
77,54794110,20360002
77,54788682,20360002
77,59669184,20360002
77,59674143,20360002
77,60513280,20358677
77,54040860,20358677
77,55693873,20358677
77,54788534,20358677
77,59757666,20358677
77,59758607,20358677
77,64133226,20358677
77,60170974,20358677
77,61155537,20358677
77,54788724,20358677
77,61123808,20358677
77,60641941,20358677
77,59255869,20358677
77,60532389,20358677
77,56128457,20358677
77,56214927,20358677
77,60641933,20358677
77,53621231,20358677
77,59258202,20358677
77,54041348,20358677
77,64131634,20358677
77,56141609,20358677
77,55981054,20358677
77,55370621,20358677
77,55195549,20358677
77,55195457,20358677
77,60556115,20358677
77,61236428,20358677
77,59470195,20358677
77,60967288,20358677
77,59087361,20358677
77,60556974,20358677
64,60697224,20360043
64,60705878,20360164
64,55656730,20360139
64,62600184,20360153
64,52808193,20360213
64,60894771,20360222
64,60002029,20360195
64,63277784,20360179
47,63740468,20357812
47,63616148,20357810
76,65246423,20357808
76,65321721,20357808
76,56935984,20357808
76,65322034,20357808
76,65344905,20357808
76,65352684,20357808
76,65340952,20357808
76,61469227,20357808
5,60711959,ЭЛ968632
47,59754275,20357978
47,63615249,20357978
47,63616155,20357978
49,60318615,ЭЛ968600
49,60455789,ЭЛ968600
49,63477202,ЭЛ968600
49,60782679,ЭЛ968600
49,53443248,ЭЛ968600
49,62289822,ЭЛ968600
49,61886164,ЭЛ968592
49,60692456,ЭЛ968592
49,63473235,ЭЛ968592
49,56910995,ЭЛ968592
49,52795960,ЭЛ968592
49,63209589,ЭЛ968592
49,56168834,ЭЛ968592
46,63647010,20358069
46,63740385,20358061
46,65282253,20358055
46,63739031,20358040
66,28850345,20356521
54,63696249,ЭЛ968518
54,61395877,ЭЛ968518
54,63928089,ЭЛ968518
54,62660212,ЭЛ968518
54,62765045,ЭЛ968518
58,65367724,ЭЛ968397
58,60827516,ЭЛ968397
58,56910193,ЭЛ968397
58,61285680,ЭЛ968397
58,60302726,ЭЛ968388
58,61124020,ЭЛ968388
58,52838760,ЭЛ968397
58,63567168,ЭЛ968397
58,63576078,ЭЛ968397
58,56856305,ЭЛ968397
58,63124127,ЭЛ968397
58,62347927,ЭЛ968397
58,60700069,ЭЛ968397
58,60480373,ЭЛ968397
58,61119921,ЭЛ968397
58,61010062,ЭЛ968397
58,52790995,ЭЛ968397
58,62290259,ЭЛ968397
58,61773875,ЭЛ968397
58,52838794,ЭЛ968397
58,57413528,ЭЛ968397
58,60914611,ЭЛ968397
58,60545332,ЭЛ968397
58,61111779,ЭЛ968397
58,60741113,ЭЛ968397
58,60714664,ЭЛ968397
58,61454286,ЭЛ968397
58,60688181,ЭЛ968397
58,60000114,ЭЛ968397
58,61018388,ЭЛ968397
58,60800620,ЭЛ968397
58,56640543,ЭЛ968397
58,52806239,ЭЛ968397
58,60661543,ЭЛ968268
58,60344389,ЭЛ968268
58,61087276,ЭЛ968268
41,56748544,ЭЛ967890
49,60187960,ЭЛ967399
49,63127815,ЭЛ967399
49,61745964,ЭЛ967399
49,63236129,ЭЛ967399
49,52791159,ЭЛ967399
49,56649700,ЭЛ967399
49,61089207,ЭЛ967399
49,54154869,ЭЛ967399
49,56854144,ЭЛ967399
49,60227725,ЭЛ967399
49,62717038,ЭЛ967399
49,63259386,ЭЛ967399
49,63209746,ЭЛ967399
49,56854086,ЭЛ967399
49,60996618,ЭЛ967399
76,63899736,20357566
76,65864266,20357566
76,63615413,20357566
76,56747850,20357566
76,63872519,20357566
471,61217550,ЭЛ967363
439,60347440,ЭЛ967363
465,60816014,ЭЛ967363
439,62600606,ЭЛ967363
544,61666335,ЭЛ967363
481,60675444,ЭЛ967363
413,60030657,ЭЛ967363
74,61901955,ЭЛ962732
74,63615512,ЭЛ962741
74,63622906,ЭЛ962747
519,60613650,ЭЛ967235
546,60833571,ЭЛ967235
519,60293875,ЭЛ967235
515,56651482,ЭЛ957823
413,52806031,ЭЛ956956
58,61452603,ЭЛ952573
2,60000841,ЭЛ956855
2,61473468,ЭЛ956855
2,63369250,ЭЛ956855
41,65325409,ЭЛ967020
38,65282527,ЭЛ966969
38,65320061,ЭЛ966969
38,65319188,ЭЛ966969
64,56851389,20357571
40,65577959,Ж0439815
64,52808136,20357297
40,63894802,Ж0439816
36,62626270,00511120
64,60842465,20357293
40,63872485,Ж0439817
64,62600804,20357656
40,63646814,Ж0439818
40,60697588,Ж0439819
40,63647002,Ж0439820
40,62760822,Ж0439822
40,63745087,Ж0439821
40,65864340,Ж0439823
40,65282378,Ж0439824
40,65282436,Ж0439825
40,56599640,Ж0439827
40,63760375,Ж0439828
40,63615736,Ж0439829
58,55389324,ЭЛ966491
58,55194674,ЭЛ966491
58,56654387,ЭЛ966491
58,63085971,ЭЛ966491
58,57503252,ЭЛ966491
64,60736550,20357660
58,63459986,ЭЛ966491
58,55155246,ЭЛ966491
58,53815148,ЭЛ966491
58,63086086,ЭЛ966491
58,61088167,ЭЛ966491
58,63575583,ЭЛ966491
58,52890407,ЭЛ966491
58,60844867,ЭЛ966491
58,60318029,ЭЛ966491
58,54155205,ЭЛ966491
64,60268539,20357658
58,63203046,ЭЛ966471
58,61216776,ЭЛ966471
58,56856776,ЭЛ966471
58,55770457,ЭЛ966471
58,52795499,ЭЛ966467
58,54786751,ЭЛ966467
58,61441812,ЭЛ966467
58,61441952,ЭЛ966467
58,52886801,ЭЛ966467
58,63584346,ЭЛ966467
58,61968012,ЭЛ966467
58,60614815,ЭЛ966467
58,60130036,ЭЛ966467
58,61147344,ЭЛ966467
58,56648777,ЭЛ966467
58,56649569,ЭЛ966467
58,52757606,ЭЛ966467
58,60286663,ЭЛ966467
58,60344801,ЭЛ966467
58,63415913,ЭЛ966467
40,56747512,20355459
64,60976032,20357655
40,59783050,20355870
40,56947237,20355905
40,63740310,20355884
40,63615082,20355894
40,56747124,20355924
40,56946908,20355912
40,65320681,20355936
40,63622823,20355951
40,65871204,20355961
42,65352346,ЭЛ965887
42,53592267,ЭЛ965885
58,60849445,ЭЛ966262
36,64696966,20355183
52,60880648,ЭЛ966174
52,61074688,ЭЛ966152
52,55194633,ЭЛ966152
52,52885761,ЭЛ966152
37,65075467,10043988
35,63894901,ЭЛ966104
35,65578577,ЭЛ966104
41,62624820,ЭЛ965900
64,61895538,20357482
64,60810546,20357131
64,56649460,20357128
64,65371122,20357126
64,63295026,20357124
64,56641020,20357123
61,60695822,ЭЛ965750
58,52810215,ЭЛ965663
58,63177562,ЭЛ965663
58,53442703,ЭЛ965663
58,60096070,ЭЛ965663
58,61598264,ЭЛ965663
58,63372361,ЭЛ965663
58,60014560,ЭЛ965663
58,63086284,ЭЛ965660
58,61364568,ЭЛ965660
58,63177240,ЭЛ965660
58,63369540,ЭЛ965660
58,61084984,ЭЛ965660
58,52889581,ЭЛ965660
58,52806072,ЭЛ965660
58,60458130,ЭЛ965660
58,60704640,ЭЛ965660
58,61112074,ЭЛ965660
58,61272761,ЭЛ965660
58,61216032,ЭЛ965660
58,61084406,ЭЛ965657
58,61453080,ЭЛ965657
58,60818275,ЭЛ965657
58,56650146,ЭЛ965657
58,60715216,ЭЛ965657
58,55194567,ЭЛ965657
58,61074258,ЭЛ965657
58,56648967,ЭЛ965657
58,63474068,ЭЛ965657
58,61403333,ЭЛ965657
58,60248820,ЭЛ965657
58,60410933,ЭЛ965657
58,61452413,ЭЛ965657
58,61442315,ЭЛ965657
58,52783438,ЭЛ965657
58,61239554,ЭЛ965657
58,62116975,ЭЛ965653
58,60234028,ЭЛ965653
58,55655120,ЭЛ965653
58,52757713,ЭЛ965653
58,56849904,ЭЛ965653
519,60613650,ЭЛ963033
519,60293875,ЭЛ963033
546,60833571,ЭЛ963033
35,65282337,ЭЛ965439
35,63899744,ЭЛ965438
35,65246233,ЭЛ965434
481,60675444,ЭЛ935640
544,61666335,ЭЛ935640
471,61217550,ЭЛ935640
465,60816014,ЭЛ935640
439,60347440,ЭЛ935640
413,60030657,ЭЛ935640
439,62600606,ЭЛ935640
66,28851319,20355482
46,61471850,10045228
46,60314572,10045231
46,60698453,10045226
46,61372512,10045231
46,63371934,10045228
46,63128060,10045231
46,52782984,10045228
46,52887866,10045228
46,52809266,10045228
46,63389449,10045231
46,57505406,10045231
46,63265789,10045228
46,57490450,10045231
46,60679917,10045231
68,63390082,ЭЛ965364
42,60697323,ЭЛ965286
42,61474847,ЭЛ965286
42,60050838,ЭЛ977209
56,63623045,ЭЛ965088
46,63232235,20354525
46,65350886,20354519
46,61996823,20354511
46,64066863,20354490
36,61116968,10045038
36,52805876,10045037
35,60690112,ЭЛ964668
35,64227838,ЭЛ964636
44,63623110,ЭЛ964494
52,63390215,ЭЛ963943
41,63616072,ЭЛ963860
41,64489172,ЭЛ963860
41,65245532,ЭЛ963860
77,60558970,20353982
77,60242203,20353982
77,60242187,20353982
77,60687977,20353982
77,61664884,20353982
77,60845286,20353982
77,60508306,20353982
77,60019049,20353982
77,52882065,20353982
77,61031860,20353982
77,60636586,20353982
77,66778721,20353982
77,61793113,20353982
77,60817673,20353982
77,65602500,20353982
77,60993300,20353982
77,60994969,20353982
77,65066433,20353977
77,60614435,20353977
77,61119665,20353977
77,61056123,20353977
77,61894762,20353977
77,61111878,20353977
77,65754152,20353977
77,60222510,20353977
77,65062200,20353977
77,52885332,20353977
77,60755154,20353977
77,60852423,20353977
77,66474016,20353977
77,60828829,20353977
77,52889573,20353977
77,65754418,20353977
77,67823427,20353977
77,66773466,20353977
77,60778933,20353977
77,60316627,20353977
77,61300836,20353977
77,60607439,20353977
77,63389860,20353977
77,60739901,20353977
77,60896743,20353977
77,60913605,20353977
77,60712338,20353977
77,52891322,20353977
77,60558764,20353977
77,60244753,20353977
77,65758971,20353977
77,66306671,20353977
77,61065140,20353977
77,61275863,20353977
77,61003174,20353977
77,60236817,20353977
77,62750005,20353977
77,60712742,20353977
77,61794624,20353977
77,60749736,20353977
77,60080702,20353977
77,61888426,20353977
77,60964467,20353977
77,60291119,20353977
77,60973013,20353977
77,60313665,20353977
77,52886314,20353977
77,60824414,20353977
49,60266319,ЭЛ963418
49,60797339,ЭЛ963411
49,52886165,ЭЛ963418
49,60615085,ЭЛ963418
49,61372504,ЭЛ963411
49,52887668,ЭЛ963418
49,62072400,ЭЛ963418
49,60561685,ЭЛ963411
49,60840147,ЭЛ963411
49,60029535,ЭЛ963411
49,60617610,ЭЛ963411
49,60386612,ЭЛ963418
49,64965973,ЭЛ963411
49,60008059,ЭЛ963418
49,60011780,ЭЛ963411
49,60568276,ЭЛ963411
49,63176838,ЭЛ963418
49,52886405,ЭЛ963411
49,63543763,ЭЛ963418
49,60768017,ЭЛ963411
49,60867264,ЭЛ963411
49,57492068,ЭЛ963418
49,60016268,ЭЛ963418
49,60693140,ЭЛ963418
49,60405081,ЭЛ963418
49,56959760,ЭЛ963418
49,60407574,ЭЛ963418
49,60202884,ЭЛ963411
49,66519752,ЭЛ963418
49,61057527,ЭЛ963411
49,60569571,ЭЛ963411
49,60827748,ЭЛ963418
49,60686631,ЭЛ963418
49,60406949,ЭЛ963411
49,62135876,ЭЛ963418
49,60674470,ЭЛ963411
49,60431962,ЭЛ963411
49,62072046,ЭЛ963418
49,52836657,ЭЛ963411
49,63369581,ЭЛ963418
49,60009487,ЭЛ963418
49,52884533,ЭЛ963411
49,63209050,ЭЛ963418
49,60578812,ЭЛ963418
49,60761582,ЭЛ963418
49,60780400,ЭЛ963411
58,60755964,ЭЛ952573
551,61146262,ЭЛ962977
24,53442885,ЭЛ962974
39,63722730,ЭЛ931261
74,63623086,ЭЛ958238
74,63615363,ЭЛ958237
74,63901003,ЭЛ958239
37,65086936,ЭЛ962888
37,62464086,ЭЛ962888
42,63386544,ЭЛ962420
47,61217188,10044696
47,63894307,10044704
47,63740484,10044704
47,60518776,10044704
47,56747413,10044704
47,63738926,10044842
47,61117149,10045302
47,63771034,10044704
47,61901138,10044697
47,60639085,10044704
47,60695384,10045302
47,61119483,10044704
47,63615264,10044704
52,61355848,ЭЛ962247
52,61452082,ЭЛ962247
52,63265888,ЭЛ962247
52,57915944,ЭЛ962247
52,56651987,ЭЛ962247
42,61474359,ЭЛ962052
42,61352753,ЭЛ962052
36,63622963,20351299
36,65233017,20351310
36,63386585,20351298
35,63213326,ЭЛ961938
35,63744924,ЭЛ961938
432,61892501,ЭЛ961616
38,63740526,ЭЛ961489
38,63901482,ЭЛ961489
40,61475109,20351456
40,61474011,20351486
40,61117529,20351501
40,61901419,20351530
40,60697844,20351569
40,56935133,20351595
40,63670160,20351605
40,63872261,20351629
40,60691607,20351715
40,63770473,20351649
40,61901286,20352151
40,61118667,20352170
40,61902177,20352183
40,56946825,20352190
40,61475083,20352195
40,65572224,20352200
40,65347171,20352215
40,63615843,20352226
544,61719852,37439865
413,61068052,37439838
40,65282261,20352280
40,65270605,20352297
40,61901328,20352314
40,56097819,20352328
58,55609226,ЭЛ961301
58,60745429,ЭЛ961268
58,60868445,ЭЛ961259
58,60871829,ЭЛ961259
58,60750452,ЭЛ961259
58,63209027,ЭЛ961259
58,61747408,ЭЛ961259
58,55609242,ЭЛ961259
58,60750510,ЭЛ961259
58,63477384,ЭЛ961259
58,63472849,ЭЛ961259
58,62136320,ЭЛ961259
58,60020625,ЭЛ961259
58,56648876,ЭЛ961259
58,60809076,ЭЛ961259
58,60035383,ЭЛ961259
58,60511912,ЭЛ961259
42,61150520,ЭЛ961700
42,60693462,ЭЛ961686
58,61168555,ЭЛ961163
58,60772787,ЭЛ961163
58,61089082,ЭЛ961163
58,54786454,ЭЛ961163
58,52891173,ЭЛ961158
58,60417672,ЭЛ961158
46,63615942,20350467
46,63622864,20350476
46,63566509,10044452
46,65353500,20350463
46,52807575,10044452
46,61471967,10044452
46,63566889,10044452
46,61072831,10044452
46,63416978,10044452
46,63123889,10044452
46,63476881,10044452
46,63739007,20350461
46,63723134,20350455
46,65282287,20350451
48,28850543,10044437
48,28850535,10044437
47,65572448,20350786
47,63900435,20350786
47,61475000,20350786
47,65864332,20350786
47,63740302,20350786
47,56948110,20350786
46,63616080,20350444
46,63720213,20350447
47,63615553,20350786
47,65246415,20350786
47,61474714,20350786
46,56148505,20350437
46,63760367,20350434
46,56947765,20350440
46,63900880,20350784
46,60018728,20350784
46,63902738,20350784
46,65864324,20350784
46,56747140,20350784
46,63760417,20350784
46,63894380,20350784
46,63902480,20350784
46,56267974,20350784
46,65327785,20350784
47,63646822,20350783
47,60697364,20350783
47,61996054,20350783
47,60694023,20350783
24,56653744,ЭЛ960696
35,63895049,ЭЛ960590
77,56575731,20350628
77,63565253,20350628
77,63615355,20350628
77,65322422,20350628
77,65282311,20350628
77,62517065,20350628
77,63745111,20350628
77,64352149,20350628
77,65284655,20350628
77,63565303,20350628
77,63264907,20350628
77,65284671,20350628
77,61993614,20350628
77,63565329,20350628
77,60692886,20350628
77,63739015,20350628
77,65337818,20350628
61,56574908,ЭЛ960494
77,63885230,20350624
77,63622856,20350624
77,61117727,20350624
77,65320277,20350624
77,60016516,20350624
77,65357667,20350624
77,63719389,20350624
77,56016975,20350624
77,65320152,20350624
77,60536273,20350624
77,55027478,20350624
77,60585874,20350624
77,61151312,20350624
77,53431268,20350624
77,60697075,20350624
77,63615926,20350624
77,56947427,20350624
77,65354052,20350624
77,59388082,20350624
77,60642063,20350624
77,56650666,20350624
77,56022601,20350624
77,56622822,20350624
77,65317935,20350624
77,65319527,20350624
77,62626114,20350624
77,61123782,20350624
77,65343113,20350624
77,62326764,20350624
77,63902530,20350624
77,60515285,20350624
77,61474227,20350624
77,63899959,20350624
77,63872279,20350624
77,67569939,20350624
77,63771240,20350624
77,64106164,20350624
77,61003224,20350624
77,56935240,20350624
77,61115374,20350624
77,65327678,20350624
77,64106560,20350624
77,55195275,20350624
77,63615181,20350624
77,56808918,20350624
77,54789649,20350624
77,63212773,20350624
77,54789946,20350624
77,63213755,ЭЛ960314
35,65864258,ЭЛ960142
35,65328254,ЭЛ960149
41,52809993,ЭЛ960090
41,60863479,ЭЛ960090
41,53431060,ЭЛ960090
41,52809241,ЭЛ960090
41,63280705,ЭЛ960090
41,55771521,ЭЛ960090
41,56932049,ЭЛ960090
41,56931819,ЭЛ960090
35,53577201,ЭЛ960027
58,56959877,ЭЛ959913
58,60795325,ЭЛ959913
58,56913692,ЭЛ959913
58,57487043,ЭЛ959913
58,60384419,ЭЛ959913
58,56853823,ЭЛ959913
58,60643129,ЭЛ959913
58,53816393,ЭЛ959913
58,55734107,ЭЛ959913
58,61084588,ЭЛ959913
58,60746906,ЭЛ959913
58,62742481,ЭЛ959913
58,60651130,ЭЛ959913
58,52790755,ЭЛ959913
58,60816287,ЭЛ959913
58,61080529,ЭЛ959913
58,62519533,ЭЛ959913
58,52888591,ЭЛ959913
58,62255468,ЭЛ959913
58,60016284,ЭЛ959913
58,61109724,ЭЛ959913
56,63623060,ЭЛ959580
47,65603722,10043389
47,55561054,10043389
47,57413536,10043389
46,61729885,10044106
46,61473088,10044106
46,52890068,10044106
46,60641602,10044106
37,62910724,ЭЛ959289
37,64489263,ЭЛ959289
52,54710207,ЭЛ959253
52,60295557,ЭЛ959253
52,67759746,ЭЛ959231
52,60614187,ЭЛ959231
52,61356259,ЭЛ959231
52,63294516,ЭЛ959231
52,60687241,ЭЛ959231
47,65341810,20350781
47,65350860,20350781
47,63213508,20350781
47,63615686,20350781
47,65565780,20350781
47,64351968,20350781
47,65346777,20350781
35,65320905,ЭЛ958687
35,65335010,ЭЛ958685
488,60558970,ЭЛ958592
52,63460349,ЭЛ958186
40,62699947,35352335
40,56747579,35352333
40,65284606,35352337
40,63665988,35352336
58,52791159,ЭЛ957982
58,60142247,ЭЛ957982
58,56848054,ЭЛ957982
58,60227725,ЭЛ957982
58,59397349,ЭЛ957982
58,63371017,ЭЛ957982
58,60618048,ЭЛ957982
58,63236129,ЭЛ957982
58,56649700,ЭЛ957982
58,63128557,ЭЛ957982
58,60996618,ЭЛ957982
58,61473211,ЭЛ957982
58,60187960,ЭЛ957982
58,63368609,ЭЛ957982
58,56854086,ЭЛ957982
58,60945714,ЭЛ957982
58,63127815,ЭЛ957982
58,52891108,ЭЛ957982
58,61745964,ЭЛ957982
58,62717038,ЭЛ957982
58,63259386,ЭЛ957982
58,61089207,ЭЛ957982
58,61440814,ЭЛ957982
58,61452546,ЭЛ957982
58,54154869,ЭЛ957982
58,60608908,ЭЛ957982
58,55880231,ЭЛ957982
58,56854144,ЭЛ957982
58,63268635,ЭЛ957982
58,63294474,ЭЛ957982
58,63296016,ЭЛ957982
58,63209746,ЭЛ957982
58,60511417,ЭЛ957982
58,60408119,ЭЛ957978
58,53815320,ЭЛ957978
58,63472666,ЭЛ957978
58,53523049,ЭЛ957978
58,52809431,ЭЛ957978
58,52783040,ЭЛ957978
58,55694459,ЭЛ957938
58,60949906,ЭЛ957938
58,61290367,ЭЛ957938
58,55609374,ЭЛ957938
58,53443248,ЭЛ957938
58,63477202,ЭЛ957938
58,60318615,ЭЛ957938
58,62289822,ЭЛ957938
58,61089850,ЭЛ957938
58,63473565,ЭЛ957938
58,61042784,ЭЛ957933
58,61981478,ЭЛ957960
58,55685259,ЭЛ957960
58,60327368,ЭЛ957960
58,65322034,ЭЛ957958
58,63567705,ЭЛ957960
58,54043054,ЭЛ957933
58,53573028,ЭЛ957960
58,61735783,ЭЛ957933
58,65344905,ЭЛ957958
58,54154877,ЭЛ957933
58,56648884,ЭЛ957933
58,57473316,ЭЛ957960
58,63201859,ЭЛ957960
58,61355905,ЭЛ957933
58,60831773,ЭЛ957960
58,63128110,ЭЛ957933
58,63566871,ЭЛ957960
58,60557683,ЭЛ957933
58,55570923,ЭЛ957933
58,60036068,ЭЛ957960
